num_duplicates,ID,duplicates
2,1,/Volumes/psych/BergelsonLab/Scripts_and_Apps/VIP_data/image/book9.jpg
2,1,/Volumes/psych/BergelsonLab/Stimuli/seedlings_stimuli/images_greybackground_960x960_150dpi/book9.jpg
2,2,/Volumes/psych/BergelsonLab/Scripts_and_Apps/old_aggregations/old_batch_basic_level/batch_basic_level_video_old/38_08_video_coderJH_processed.csv
2,2,/Volumes/psych/BergelsonLab/Scripts_and_Apps/old_aggregations/batch_basic_level_video/38_08_video_coderJH_video_processed.csv
2,3,/Volumes/psych/BergelsonLab/Stimuli/YM/images_greybackground_960x960_150dpi/Y19/baby.jpg
2,3,/Volumes/psych/BergelsonLab/Subject_Files/YM/Y19/Image_Stims/baby22.jpg
3,4,/Volumes/psych/BergelsonLab/Eyetracking ebd files/VNA_july_5/library/audio/run_can.wav
3,4,/Volumes/psych/BergelsonLab/Stimuli/VNA/audio/FINALS/run_can.wav
3,4,/Volumes/psych/BergelsonLab/temp/ExpB folders/VNAfadein/library/audio/run_can.wav
2,5,/Volumes/psych/BergelsonLab/Scripts_and_Apps/VIP_data/image/cow17.jpg
2,5,/Volumes/psych/BergelsonLab/Stimuli/seedlings_stimuli/images_greybackground_960x960_150dpi/cow17.jpg
2,6,/Volumes/psych/BergelsonLab/Eyetracking ebd files/HI10_12_2018/Template/runtime/images/8986774407867909358.png
2,6,/Volumes/psych/BergelsonLab/Eyetracking ebd files/TwoImagesWithAudio/runtime/images/8986774407867909358.png
2,7,/Volumes/psych/BergelsonLab/Scripts_and_Apps/VIP_data/image/dragon2.jpg
2,7,/Volumes/psych/BergelsonLab/Stimuli/seedlings_stimuli/images_greybackground_960x960_150dpi/dragon2.jpg
2,8,/Volumes/psych/BergelsonLab/Scripts_and_Apps/old_aggregations/batch_basic_level_audio/43_14_coderSA_final_audio_processed.csv
2,8,/Volumes/psych/BergelsonLab/Scripts_and_Apps/old_aggregations/old_batch_basic_level/batch_basic_level_audio_old/43_14_coderSA_final_processed.csv
2,9,/Volumes/psych/BergelsonLab/Scripts_and_Apps/VIP_data/image/oven2.jpg
2,9,/Volumes/psych/BergelsonLab/Stimuli/seedlings_stimuli/images_greybackground_960x960_150dpi/oven2.jpg
2,10,/Volumes/psych/BergelsonLab/Scripts_and_Apps/VIP_data/image/chicken3.jpg
2,10,/Volumes/psych/BergelsonLab/Stimuli/seedlings_stimuli/images_greybackground_960x960_150dpi/chicken3.jpg
2,11,/Volumes/psych/BergelsonLab/Scripts_and_Apps/VIP_data/image/heart.jpg
2,11,/Volumes/psych/BergelsonLab/Stimuli/seedlings_stimuli/images_greybackground_960x960_150dpi/heart.jpg
2,12,/Volumes/psych/BergelsonLab/Scripts_and_Apps/stimuli_datasource/xlrd-0.9.3/xlrd/timemachine.py
2,12,/Volumes/psych/BergelsonLab/Scripts_and_Apps/stimuli_datasource/xlrd-0.9.3/build/lib/xlrd/timemachine.py
2,13,/Volumes/psych/BergelsonLab/Scripts_and_Apps/old_aggregations/batch_basic_level_audio/06_06_newclan_merged_final_audio_processed.csv
2,13,/Volumes/psych/BergelsonLab/Scripts_and_Apps/old_aggregations/old_batch_basic_level/batch_basic_level_audio_old/06_06_newclan_merged_final_processed.csv
2,14,/Volumes/psych/BergelsonLab/Scripts_and_Apps/old_aggregations/batch_basic_level_audio/20_07_newclan_merged_audio_processed.csv
2,14,/Volumes/psych/BergelsonLab/Scripts_and_Apps/old_aggregations/old_batch_basic_level/batch_basic_level_audio_old/20_07_newclan_merged_processed.csv
2,15,/Volumes/psych/BergelsonLab/Scripts_and_Apps/old_aggregations/batch_basic_level_audio/30_08_coderJH_final_audio_processed.csv
2,15,/Volumes/psych/BergelsonLab/Scripts_and_Apps/old_aggregations/old_batch_basic_level/batch_basic_level_audio_old/30_08_coderJH_final_processed.csv
3,16,/Volumes/psych/BergelsonLab/Scripts_and_Apps/VIP_data/image/stroller2.jpg
3,16,/Volumes/psych/BergelsonLab/Stimuli/seedlings_stimuli/images_greybackground_960x960_150dpi/stroller2.jpg
3,16,/Volumes/psych/BergelsonLab/Subject_Files/YM/Y22/Image_Stims/stroller2.jpg
2,17,/Volumes/psych/BergelsonLab/Scripts_and_Apps/VIP_data/image/slide3.jpg
2,17,/Volumes/psych/BergelsonLab/Stimuli/seedlings_stimuli/images_greybackground_960x960_150dpi/slide3.jpg
2,18,/Volumes/psych/BergelsonLab/Scripts_and_Apps/old_aggregations/old_batch_basic_level/batch_basic_level_video_old/17_16_coderTE_final_processed.csv
2,18,/Volumes/psych/BergelsonLab/Scripts_and_Apps/old_aggregations/batch_basic_level_video/17_16_coderTE_final_video_processed.csv
2,19,/Volumes/psych/BergelsonLab/Scripts_and_Apps/VIP_data/lda/childes/childs_sent_25_eta.model.eta.npy
2,19,/Volumes/psych/BergelsonLab/Scripts_and_Apps/VIP_data/lda/childes/childs_sent_25_a0.05eta.model.eta.npy
2,20,/Volumes/psych/BergelsonLab/Scripts_and_Apps/old_aggregations/old_batch_basic_level/batch_basic_level_video_old/18_08_coderJH_final_processed.csv
2,20,/Volumes/psych/BergelsonLab/Scripts_and_Apps/old_aggregations/batch_basic_level_video/18_08_coderJH_final_video_processed.csv
4,21,/Volumes/psych/BergelsonLab/Eyetracking ebd files/HI10_12_2018/library/audio/where_yogurt.wav
4,21,/Volumes/psych/BergelsonLab/Eyetracking ebd files/HI10_12_2018/Template/library/audio/where_yogurt.wav
4,21,/Volumes/psych/BergelsonLab/Eyetracking ebd files/HI10_12_2018/CategoriesHI/library/audio/where_yogurt.wav
4,21,/Volumes/psych/BergelsonLab/Eyetracking ebd files/HI10_12_2018/AudioStimuli/YOGURT/where_yogurt.wav
2,22,/Volumes/psych/BergelsonLab/Stimuli/YM/images_greybackground_960x960_150dpi/Y08/butterfly.jpg
